scope,metric,value
baseline_predict_base_fee,mae,733.7268
baseline_predict_base_fee,mape_pct,33.8257
baseline_predict_base_fee,median_ape_pct,15.7895
baseline_predict_base_fee,n,28296.0
baseline_predict_base_fee,r2_dollars,0.1893
baseline_predict_base_fee,rmse,1209.847
baseline_predict_base_fee,within_10pct,32.5876
baseline_predict_base_fee,within_20pct,59.0543
baseline_predict_suggested_fee,mae,898.7581
baseline_predict_suggested_fee,mape_pct,45.7449
baseline_predict_suggested_fee,median_ape_pct,21.0
baseline_predict_suggested_fee,n,28296.0
baseline_predict_suggested_fee,r2_dollars,-5.9868
baseline_predict_suggested_fee,rmse,3551.803
baseline_predict_suggested_fee,within_10pct,26.5797
baseline_predict_suggested_fee,within_20pct,49.1801
model_test,mae,529.6705
model_test,mape_pct,22.9879
model_test,median_ape_pct,11.3418
model_test,n,28296.0
model_test,r2_dollars,0.4755
model_test,rmse,973.162
model_test,within_10pct,45.5259
model_test,within_20pct,72.5262
model_train,mae,490.462
model_train,mape_pct,20.6727
model_train,median_ape_pct,10.7416
model_train,n,113180.0
model_train,r2_dollars,0.5681
model_train,rmse,888.4401
model_train,within_10pct,47.4192
model_train,within_20pct,74.3365
service_test::Debt PCA,mae,423.1946
service_test::Debt PCA,mape_pct,17.6355
service_test::Debt PCA,median_ape_pct,9.3408
service_test::Debt PCA,n,5267.0
service_test::Debt PCA,r2_dollars,0.3016
service_test::Debt PCA,rmse,698.0018
service_test::Debt PCA,within_10pct,52.6486
service_test::Debt PCA,within_20pct,77.2736
service_test::Equity PCA,mae,1054.6988
service_test::Equity PCA,mape_pct,31.9455
service_test::Equity PCA,median_ape_pct,17.0795
service_test::Equity PCA,n,6269.0
service_test::Equity PCA,r2_dollars,0.3281
service_test::Equity PCA,rmse,1748.9853
service_test::Equity PCA,within_10pct,33.3865
service_test::Equity PCA,within_20pct,55.7505
service_test::Phase I ESA,mae,366.7473
service_test::Phase I ESA,mape_pct,21.3194
service_test::Phase I ESA,median_ape_pct,10.6362
service_test::Phase I ESA,n,16760.0
service_test::Phase I ESA,r2_dollars,0.2992
service_test::Phase I ESA,rmse,549.1853
service_test::Phase I ESA,within_10pct,47.8282
service_test::Phase I ESA,within_20pct,77.3091
